league_id,season_id,name,seq
11001,1,2010-11,1
11001,811001,2011b,2
11001,831001,2012-13,3
16001,1,2010-11,1
16001,103001,2012-13,2
16001,114001,,3
16001,115001,2013,4
17001,1,2010,1
17001,23001,2011,2
17001,183001,2013,3
18001,1,2010,1
18001,32001,2011,2
19001,1,2010-11,1
20001,1,2010-11,1
