driver,ct
Paratroopa,1058
Koopa,950
Bowser Jr.,883
Diddy Kong,867
Toad,747
Toadette,523
Waluigi,476
Baby Mario,432
Baby Luigi,241
Peach,91
Yoshi,76
Wario,24
Daisy,20
Luigi,20
Mario,20
King Boo,16
